



name                                 #n       tsub       ttot       tavg
../pkg_resources.py.NullProvider:113 1        0.000009   0.000009   0.000009   
..r/lib/python2.6/string.py.lower:22 1        0.000006   0.000008   0.000008   
..ges/pkg_resources.py.WorkingSet:38 1        0.000008   0.000008   0.000008   
..es/pkg_resources.py.ImpWrapper:155 1        0.000007   0.000007   0.000007   
..-PROJECT/EntityTypes.py.leftEdge:5 3        0.000007   0.000007   0.000002   
..ANHOU-PROJECT/events.py.__init__:2 1        0.000006   0.000006   0.000006   
..sources.py.register_loader_type:16 3        0.000006   0.000006   0.000002   
..ges/pkg_resources.py.ImpLoader:158 1        0.000006   0.000006   0.000006   
..ib/python2.6/threading.py.isSet:37 4        0.000005   0.000005   0.000001   
..ython2.6/random.py.WichmannHill:64 1        0.000005   0.000005   0.000005   
...py.register_namespace_handler:172 3        0.000005   0.000005   0.000002   
../python2.6/pkgutil.py.ImpLoader:22 1        0.000005   0.000005   0.000005   
.._resources.py.IResourceProvider:34 1        0.000005   0.000005   0.000005   
..s/pkg_resources.py.ZipProvider:130 1        0.000005   0.000005   0.000005   
..ANHOU-PROJECT/pattern.py.<module>: 1        0.000005   0.000005   0.000005   
.._resources.py.IMetadataProvider:31 1        0.000004   0.000004   0.000004   
..ython2.6/random.py.SystemRandom:79 1        0.000004   0.000004   0.000004   
..g_resources.py.register_finder:164 3        0.000004   0.000004   0.000001   
..b/python2.6/threading.py.daemon:68 2        0.000004   0.000004   0.000002   
..b/python2.6/distutils/log.py.Log:1 1        0.000004   0.000004   0.000004   
..s/pkg_resources.py.Requirement:249 1        0.000004   0.000004   0.000004   
..U-PROJECT/EntityTypes.py.topEdge:6 1        0.000004   0.000004   0.000004   
..U-PROJECT/engine.py.getGameArea:10 2        0.000003   0.000003   0.000002   
..ython2.6/pkgutil.py.ImpImporter:16 1        0.000003   0.000003   0.000003   
..HOU-PROJECT/level.py.FairyBullet:6 1        0.000003   0.000003   0.000003   
../pkg_resources.py.FileMetadata:147 1        0.000003   0.000003   0.000003   
../pkg_resources.py.find_nothing:168 2        0.000003   0.000003   0.000002   
..g_resources.py.DefaultProvider:126 1        0.000003   0.000003   0.000003   
..ROJECT/events.py.setQuitHandler:13 1        0.000003   0.000003   0.000003   
..pkg_resources.py.EmptyProvider:129 1        0.000003   0.000003   0.000003   
..s/pkg_resources.py.EggProvider:123 1        0.000003   0.000003   0.000003   
..kg_resources.py.ExtractionError:83 1        0.000002   0.000002   0.000002   
..ls/errors.py.DistutilsSetupError:5 1        0.000002   0.000002   0.000002   
..distutils/errors.py.CompileError:8 1        0.000002   0.000002   0.000002   
..stutils/errors.py.CCompilerError:8 1        0.000002   0.000002   0.000002   
..s/pkg_resources.py.EggMetadata:154 1        0.000002   0.000002   0.000002   
..hon2.6/distutils/log.py.__init__:1 1        0.000002   0.000002   0.000002   
../pkg_resources.py.PathMetadata:151 1        0.000002   0.000002   0.000002   
..ib/python2.6/pkgutil.py.register:5 1        0.000002   0.000002   0.000002   
..thon2.6/urlparse.py.ParseResult:11 1        0.000002   0.000002   0.000002   
...6/distutils/__init__.py.<module>: 1        0.000002   0.000002   0.000002   
..errors.py.DistutilsPlatformError:6 1        0.000002   0.000002   0.000002   
..sources.py.DistributionNotFound:15 1        0.000002   0.000002   0.000002   
..ils/errors.py.DistutilsFileError:4 1        0.000002   0.000002   0.000002   
..tils/errors.py.DistutilsArgError:3 1        0.000002   0.000002   0.000002   
..s/errors.py.DistutilsOptionError:4 1        0.000002   0.000002   0.000002   
..errors.py.DistutilsInternalError:7 1        0.000002   0.000002   0.000002   
..stutils/errors.py.DistutilsError:1 1        0.000002   0.000002   0.000002   
..ors.py.DistutilsByteCompileError:7 1        0.000002   0.000002   0.000002   
..tils/errors.py.UnknownFileError:10 1        0.000002   0.000002   0.000002   
..ages/pkg_resources.py.__init__:129 1        0.000002   0.000002   0.000002   
..2.6/distutils/errors.py.LibError:9 1        0.000002   0.000002   0.000002   
..ils/errors.py.DistutilsExecError:6 1        0.000002   0.000002   0.000002   
..s/errors.py.DistutilsGetoptError:3 1        0.000002   0.000002   0.000002   
..thon2.6/urlparse.py.SplitResult:10 1        0.000002   0.000002   0.000002   
..tutils/errors.py.PreprocessError:8 1        0.000002   0.000002   0.000002   
